id_jogador,epoca,dias_parado_max,carga_lesao_historica,num_lesoes,posicao,nacionalidade,idade_atual,risco_lesao,dias_descanso_media,jogos_fase_grupos,altitude_media,idade_x_jogos,idade_x_altitude,descanso_relativo,risco_biomecanico
11,22/23,25,33,2,Goalkeeper,Germany,36.0,1,,,,,,,1.0
11,23/24,20,33,3,Goalkeeper,Germany,37.0,1,,,,,,,1.0
12,13/14,74,74,1,Goalkeeper,"France,DR Congo",28.0,1,,,,,,,1.0
12,16/17,154,154,1,Goalkeeper,"France,DR Congo",31.0,1,,,,,,,1.0
12,17/18,31,49,2,Goalkeeper,"France,DR Congo",32.0,1,,,,,,,1.0
12,18/19,31,31,1,Goalkeeper,"France,DR Congo",33.0,1,,,,,,,1.0
12,20/21,9,14,2,Goalkeeper,"France,DR Congo",35.0,0,,,,,,,1.0
12,21/22,10,10,1,Goalkeeper,"France,DR Congo",36.0,0,,,,,,,1.0
12,22/23,34,52,3,Goalkeeper,"France,DR Congo",37.0,1,,,,,,,1.0
13,08/09,83,106,2,Goalkeeper,Spain,24.0,1,,,,,,,1.0
13,09/10,168,168,1,Goalkeeper,Spain,25.0,1,,,,,,,1.0
13,10/11,20,20,1,Goalkeeper,Spain,26.0,1,,,,,,,1.0
13,14/15,44,44,1,Goalkeeper,Spain,30.0,1,,,,,,,1.0
13,15/16,40,40,1,Goalkeeper,Spain,31.0,1,,,,,,,1.0
13,16/17,9,9,1,Goalkeeper,Spain,32.0,0,,,,,,,1.0
13,18/19,19,19,1,Goalkeeper,Spain,34.0,1,,,,,,,1.0
13,19/20,47,77,3,Goalkeeper,Spain,35.0,1,,,,,,,1.0
13,21/22,73,73,1,Goalkeeper,Spain,37.0,1,,,,,,,1.0
14,20/21,26,26,1,Goalkeeper,Italy,34.0,1,,,,,,,1.0
14,21/22,17,17,1,Goalkeeper,Italy,36.0,1,,,,,,,1.0
14,23/24,65,65,1,Goalkeeper,Italy,37.0,1,,,,,,,1.0
15,16/17,18,18,1,Central Midfield,Croatia,30.0,1,,,,,,,5.0
15,17/18,28,43,2,Central Midfield,Croatia,31.5,1,,,,,,,5.0
15,19/20,16,25,2,Central Midfield,Croatia,33.0,1,,,,,,,5.0
15,20/21,7,11,2,Central Midfield,Croatia,35.0,0,,,,,,,5.0
15,21/22,22,44,5,Central Midfield,Croatia,35.2,1,,,,,,,5.0
15,22/23,9,15,2,Central Midfield,Croatia,36.0,0,,,,,,,5.0
15,23/24,6,6,1,Central Midfield,Croatia,37.0,0,,,,,,,5.0
16,09/10,62,72,2,Goalkeeper,Poland,23.0,1,,,,,,,1.0
16,10/11,136,153,2,Goalkeeper,Poland,25.0,1,,,,,,,1.0
16,11/12,38,38,1,Goalkeeper,Poland,26.0,1,,,,,,,1.0
16,12/13,95,161,3,Goalkeeper,Poland,27.0,1,,,,,,,1.0
16,18/19,4,4,1,Goalkeeper,Poland,33.0,0,,,,,,,1.0
16,19/20,96,115,3,Goalkeeper,Poland,34.0,1,,,,,,,1.0
16,20/21,17,25,2,Goalkeeper,Poland,35.0,1,,,,,,,1.0
17,12/13,141,141,1,Goalkeeper,England,25.0,1,,,,,,,1.0
18,16/17,32,39,2,Attacking Midfield,"Argentina,Italy",28.0,1,,,,,,,3.0
18,17/18,14,25,2,Attacking Midfield,"Argentina,Italy",29.0,0,,,,,,,3.0
